COD_REG,NOME_REG,SHAPE_Leng,SHAPE_Area
1,Piemonte,1236869.36880000000,25394103941.60000000000
2,Aosta,311165.13487700000,3259040961.30000000000
3,Lombardia,1411265.07152000000,23862698613.60000000000
4,Trentino,800534.13249500000,13608018378.50000000000
5,Veneto,1057855.96760000000,18405499479.40000000000
6,Friuli-Venezia Giulia,667489.73706200000,7864293935.04000000000
7,Liguria,834224.46803500000,5415464956.44000000000
8,Emilia-Romagna,1164723.05925000000,22451465521.90000000000
9,Toscana,1316658.00191000000,22984426772.00000000000
10,Umbria,620315.16992900000,8464007915.76000000000
11,Marche,629209.04720100000,9401177971.95000000000
12,Lazio,1055355.14651000000,17227617801.30000000000
13,Abruzzo,614513.70578900000,10829102919.50000000000
14,Molise,433874.67797500000,4461149496.36000000000
15,Campania,892379.13191300000,13663989800.10000000000
16,Puglia,1176242.99348000000,19537077223.00000000000
17,Basilicata,614219.20549700000,10073260222.60000000000
18,Calabria,838194.35773400000,15216683867.80000000000
19,Sicilia,1339973.64188000000,25824775591.40000000000
20,Sardegna,1460657.08082000000,24094165311.90000000000
